Week,Month,Date,Day,Szeliski,Slides,Reading,Projects,Quizzes,,,,
1,Aug,17,Mon,Introduction,S01-Logistics,-,Pytorch,,,,,
1,Aug,19,Wed,Image formation,-,-,,,,,,
2,Aug,24,Mon,Image formation,-,-,,,,,#,Percentage
2,Aug,26,Wed,Image processing,-,-,,,,Project0,1,1
3,Aug,31,Mon,Image processing,-,-,,,,Projects,5,15
3,Sep,2,Wed,CNNs and Pytorch,-,-,Image Filtering and Hybrid images,Quiz 1,,Quizzes,6,4
4,Sep,7,Mon,"No classes, Labor Day",-,-,,,,,,100
4,Sep,9,Wed,Deep Learning,-,-,,,,,,
5,Sep,14,Mon,Deep Learning,-,-,,,,,,
5,Sep,16,Wed,Deep Learning,-,-,,,,,,
6,Sep,21,Mon,Recognition,-,-,Scene Recognition with Deep Learning,Quiz 2,,,,
6,Sep,23,Wed,Recognition,-,-,,,,,,
7,Sep,28,Mon,Recognition,-,-,,,,,,
7,Sep,30,Wed,Feature Detection and Matching,-,-,,,,,,
8,Oct,5,Mon,Feature Detection and Matching,-,-,,,,,,
8,Oct,7,Wed,Feature Detection and Matching,-,-,Local Feature Matching,Quiz 3,,,,
9,Oct,12,Mon,Image Alignment and Stitching,-,-,,,,,,
9,Oct,14,Wed,Image Alignment and Stitching,-,-,,,,,,
10,Oct,19,Mon,Motion Estimation,-,-,,,,,,
10,Oct,21,Wed,Motion Estimation,-,-,,,,,,
11,Oct,26,Mon,Structure from motion & SLAM,-,-,Camera Projection Matrix and F Estimation,Quiz 4,,,,
11,Oct,28,Wed,Structure from motion & SLAM,-,-,,,,,,
12,Nov,2,Mon,Structure from motion & SLAM,-,-,,,,,,
12,Nov,4,Wed,Depth Estimation,-,-,,,,,,
13,Nov,9,Mon,Depth Estimation,-,-,,,,,,
13,Nov,11,Wed,Depth Estimation,-,-,Depth Estimation using Stereo,Quiz 5,,,,
14,Nov,16,Mon,3D Reconstruction,-,-,,,,,,
14,Nov,18,Wed,3D Reconstruction,-,-,,,,,,
15,Nov,23,Mon,3D Reconstruction,-,-,,,,,,
,Nov,25-29,-,Thanksgiving Break,-,-,,,,,,
,Dec,1-8,-,Final Exams,-,-,,Quiz 6,,,,